"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
0,"Jacarand","06/05/2011 14:49","Medio (4 - 8 mts)",60,"Mediano",-68.84041484,-32.87473118,1,"Parque Central",1655357.933,0,"medio"
3,"Fresno europeo","02/03/2012 13:26","Bajo (2 - 4 mts)",52,"Mediano",-68.85742126,-32.89599445,5,"Residencial Sur",2423808.924,0,"bajo"
5,"Morera","02/03/2012 13:23","Medio (4 - 8 mts)",70,"Grande",-68.85740805,-32.8958576,5,"Residencial Sur",2423808.924,0,"medio"
7,"Morera","02/03/2012 13:19","Medio (4 - 8 mts)",110,"Grande",-68.85729812,-32.89583085,5,"Residencial Sur",2423808.924,0,"medio"
8,"Morera","02/03/2012 13:13","Medio (4 - 8 mts)",54,"Mediano",-68.85721854,-32.89583883,5,"Residencial Sur",2423808.924,0,"bajo"
10,"Morera","02/03/2012 13:10","Medio (4 - 8 mts)",100,"Grande",-68.85708285,-32.89585363,5,"Residencial Sur",2423808.924,0,"medio"
11,"Morera","02/03/2012 13:09","Medio (4 - 8 mts)",110,"Grande",-68.85701506,-32.89585728,5,"Residencial Sur",2423808.924,0,"medio"
15,"Morera","02/03/2012 13:04","Bajo (2 - 4 mts)",56,"Mediano",-68.85675991,-32.89588015,5,"Residencial Sur",2423808.924,1,"bajo"
18,"Morera","02/03/2012 12:58","Medio (4 - 8 mts)",140,"Grande",-68.85659706,-32.89589549,5,"Residencial Sur",2423808.924,0,"alto"
19,"Fresno americano","02/03/2012 12:56","Bajo (2 - 4 mts)",34,"Mediano",-68.85654233,-32.89589792,5,"Residencial Sur",2423808.924,0,"bajo"
20,"Fresno europeo","02/03/2012 12:55","Bajo (2 - 4 mts)",36,"Mediano",-68.85645611,-32.89590776,5,"Residencial Sur",2423808.924,0,"bajo"
21,"Fresno europeo","02/03/2012 12:54","Bajo (2 - 4 mts)",40,"Mediano",-68.85636179,-32.89591573,5,"Residencial Sur",2423808.924,0,"bajo"
22,"Fresno europeo","02/03/2012 12:53","Bajo (2 - 4 mts)",60,"Mediano",-68.85626968,-32.89592494,5,"Residencial Sur",2423808.924,0,"medio"
24,"Fresno europeo","02/03/2012 12:51","Bajo (2 - 4 mts)",44,"Mediano",-68.85608219,-32.89594092,5,"Residencial Sur",2423808.924,0,"bajo"
27,"Jacarand","01/03/2012 13:41","Bajo (2 - 4 mts)",18,"Chico",-68.85586701,-32.89595931,5,"Residencial Sur",2423808.924,0,"bajo"
29,"Fresno europeo","01/03/2012 13:38","Bajo (2 - 4 mts)",70,"Grande",-68.85572446,-32.89597605,5,"Residencial Sur",2423808.924,0,"medio"
36,"Morera","01/03/2012 13:22","Medio (4 - 8 mts)",180,"Grande",-68.85551159,-32.89629973,5,"Residencial Sur",2423808.924,0,"muy alto"
37,"Morera","01/03/2012 13:21","Bajo (2 - 4 mts)",40,"Mediano",-68.85551739,-32.89637069,5,"Residencial Sur",2423808.924,0,"bajo"
38,"Fresno europeo","01/03/2012 13:19","Bajo (2 - 4 mts)",54,"Mediano",-68.85551954,-32.89640486,5,"Residencial Sur",2423808.924,0,"bajo"
40,"Fresno europeo","01/03/2012 12:46","Medio (4 - 8 mts)",140,"Grande",-68.8555276,-32.89652861,5,"Residencial Sur",2423808.924,0,"alto"
41,"Fresno europeo","01/03/2012 12:45","Bajo (2 - 4 mts)",38,"Mediano",-68.8555334,-32.89658639,5,"Residencial Sur",2423808.924,0,"bajo"
42,"Jacarand","01/03/2012 12:43","Medio (4 - 8 mts)",40,"Mediano",-68.85553843,-32.89665065,5,"Residencial Sur",2423808.924,0,"bajo"
47,"Morera","01/03/2012 08:23","Medio (4 - 8 mts)",150,"Grande",-68.85571354,-32.89688847,5,"Residencial Sur",2423808.924,0,"alto"
54,"Morera","01/03/2012 08:13","Medio (4 - 8 mts)",180,"Grande",-68.85639775,-32.89688429,5,"Residencial Sur",2423808.924,0,"muy alto"
55,"Morera","01/03/2012 08:12","Medio (4 - 8 mts)",120,"Grande",-68.85649281,-32.89688191,5,"Residencial Sur",2423808.924,0,"alto"
56,"Fresno americano","29/02/2012 11:12","Bajo (2 - 4 mts)",22,"Mediano",-68.85655175,-32.89688074,5,"Residencial Sur",2423808.924,0,"bajo"
57,"Jacarand","29/02/2012 11:10","Medio (4 - 8 mts)",60,"Mediano",-68.85660038,-32.89687955,5,"Residencial Sur",2423808.924,0,"medio"
58,"Morera","05/03/2012 10:56","Medio (4 - 8 mts)",110,"Grande",-68.85668976,-32.89680801,5,"Residencial Sur",2423808.924,0,"medio"
59,"Morera","05/03/2012 10:55","Medio (4 - 8 mts)",110,"Grande",-68.85668542,-32.89675894,5,"Residencial Sur",2423808.924,0,"medio"
63,"Fresno europeo","05/03/2012 10:40","Bajo (2 - 4 mts)",22,"Mediano",-68.8566641,-32.89655215,5,"Residencial Sur",2423808.924,0,"bajo"
65,"Fresno europeo","05/03/2012 10:38","Bajo (2 - 4 mts)",60,"Mediano",-68.85667459,-32.89645368,5,"Residencial Sur",2423808.924,0,"medio"
67,"Olmo comun","05/03/2012 10:35","Medio (4 - 8 mts)",110,"Grande",-68.85677417,-32.89634986,5,"Residencial Sur",2423808.924,0,"medio"
70,"Fresno europeo","02/03/2012 13:46","Bajo (2 - 4 mts)",20,"Chico",-68.85694714,-32.89620089,5,"Residencial Sur",2423808.924,0,"bajo"
71,"Conifera","02/03/2012 13:45","Medio (4 - 8 mts)",80,"Grande",-68.85700002,-32.89616073,5,"Residencial Sur",2423808.924,0,"medio"
72,"Fresno americano","02/03/2012 13:43","Bajo (2 - 4 mts)",18,"Chico",-68.85702072,-32.89614333,5,"Residencial Sur",2423808.924,0,"bajo"
75,"Fresno europeo","02/03/2012 13:38","Bajo (2 - 4 mts)",38,"Mediano",-68.85714703,-32.89609457,5,"Residencial Sur",2423808.924,0,"bajo"
77,"Fresno europeo","02/03/2012 13:33","Bajo (2 - 4 mts)",30,"Mediano",-68.85726802,-32.89606769,5,"Residencial Sur",2423808.924,0,"bajo"
78,"Fresno americano","02/03/2012 13:31","Bajo (2 - 4 mts)",20,"Chico",-68.85733627,-32.89605383,5,"Residencial Sur",2423808.924,0,"bajo"
79,"Fresno europeo","02/03/2012 13:28","Bajo (2 - 4 mts)",28,"Mediano",-68.85739625,-32.89603995,5,"Residencial Sur",2423808.924,0,"bajo"
80,"Fresno europeo","29/02/2012 11:08","Bajo (2 - 4 mts)",32,"Mediano",-68.85697178,-32.90185531,5,"Residencial Sur",2423808.924,0,"bajo"
