"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
25,"Fresno europeo","02/03/2012 12:50","Bajo (2 - 4 mts)",70,"Grande",-68.85599303,-32.89594641,5,"Residencial Sur",2423808.924,0,"bajo"
55,"Morera","01/03/2012 08:12","Medio (4 - 8 mts)",120,"Grande",-68.85649281,-32.89688191,5,"Residencial Sur",2423808.924,0,"medio"
64,"Fresno europeo","05/03/2012 10:39","Bajo (2 - 4 mts)",50,"Mediano",-68.85666315,-32.89650073,5,"Residencial Sur",2423808.924,0,"bajo"
72,"Fresno americano","02/03/2012 13:43","Bajo (2 - 4 mts)",18,"Chico",-68.85702072,-32.89614333,5,"Residencial Sur",2423808.924,0,"bajo"
81,"Fresno americano","29/02/2012 11:07","Bajo (2 - 4 mts)",36,"Mediano",-68.85690364,-32.90186887,5,"Residencial Sur",2423808.924,0,"bajo"
82,"Fresno americano","29/02/2012 11:04","Bajo (2 - 4 mts)",40,"Mediano",-68.85686198,-32.90187378,5,"Residencial Sur",2423808.924,1,"bajo"
95,"Morera","29/02/2012 10:39","Bajo (2 - 4 mts)",44,"Mediano",-68.85597785,-32.90181818,5,"Residencial Sur",2423808.924,0,"bajo"
134,"Paraiso sombrilla","29/02/2012 10:12","Medio (4 - 8 mts)",120,"Grande",-68.85771347,-32.86407691,6,"Residencial Norte",2694682.38,0,"medio"
168,"Paraiso","26/02/2012 20:01","Bajo (2 - 4 mts)",40,"Mediano",-68.85662392,-32.86421327,6,"Residencial Norte",2694682.38,0,"bajo"
182,"Morera","24/02/2012 11:33","Bajo (2 - 4 mts)",50,"Mediano",-68.85729356,-32.86461836,6,"Residencial Norte",2694682.38,0,"bajo"
204,"Morera","06/03/2012 10:26","Alto (> 8 mts)",130,"Grande",-68.83937211,-32.87057766,4,"Cuarta Oeste",1173332.701,1,"alto"
211,"Fresno americano","06/03/2012 10:13","Medio (4 - 8 mts)",40,"Mediano",-68.83927523,-32.87020712,4,"Cuarta Oeste",1173332.701,1,"bajo"
218,"Pltano","06/03/2012 09:58","Alto (> 8 mts)",170,"Grande",-68.8387342,-32.86996989,4,"Cuarta Oeste",1173332.701,1,"muy alto"
226,"Fresno americano","06/03/2012 09:44","Medio (4 - 8 mts)",118,"Grande",-68.8380797,-32.86994632,4,"Cuarta Oeste",1173332.701,0,"medio"
228,"Pltano","06/03/2012 09:41","Alto (> 8 mts)",180,"Grande",-68.83806391,-32.87008318,4,"Cuarta Oeste",1173332.701,0,"muy alto"
231,"Jacarand","06/03/2012 09:36","Bajo (2 - 4 mts)",25,"Mediano",-68.83811616,-32.87028362,4,"Cuarta Oeste",1173332.701,1,"bajo"
237,"Morera","06/03/2012 09:28","Medio (4 - 8 mts)",35,"Mediano",-68.83832484,-32.87053947,4,"Cuarta Oeste",1173332.701,0,"bajo"
252,"Morera","07/03/2012 11:53","Muy bajo (1 - 2 mts)",4,"Chico",-68.82219902,-32.86698626,4,"Cuarta Este Area Fundacional",1822015.857,0,"bajo"
260,"Fresno europeo","07/03/2012 11:38","Medio (4 - 8 mts)",130,"Grande",-68.82208456,-32.86686293,4,"Cuarta Este Area Fundacional",1822015.857,0,"alto"
283,"Morera","07/03/2012 08:42","Alto (> 8 mts)",180,"Grande",-68.82175301,-32.86777809,4,"Cuarta Este Area Fundacional",1822015.857,1,"muy alto"
293,"Morera","05/03/2012 13:35","Alto (> 8 mts)",110,"Grande",-68.82248122,-32.86775144,4,"Cuarta Este Area Fundacional",1822015.857,0,"medio"
298,"Fresno europeo","05/03/2012 13:28","Medio (4 - 8 mts)",120,"Grande",-68.82259607,-32.8674656,4,"Cuarta Este Area Fundacional",1822015.857,0,"medio"
306,"Fresno europeo","05/03/2012 13:14","Medio (4 - 8 mts)",105,"Grande",-68.82240111,-32.86710973,4,"Cuarta Este Area Fundacional",1822015.857,0,"medio"
308,"Fresno europeo","05/03/2012 13:06","Alto (> 8 mts)",130,"Grande",-68.82225025,-32.86711504,4,"Cuarta Este Area Fundacional",1822015.857,1,"alto"
310,"Fresno europeo","05/03/2012 13:01","Medio (4 - 8 mts)",100,"Grande",-68.8221492,-32.86711647,4,"Cuarta Este Area Fundacional",1822015.857,0,"medio"
358,"Morera","06/03/2012 13:09","Medio (4 - 8 mts)",130,"Grande",-68.82055883,-32.86717478,4,"Cuarta Este Area Fundacional",1822015.857,0,"alto"
372,"Morera","05/03/2012 12:31","Medio (4 - 8 mts)",125,"Grande",-68.81890823,-32.86751756,4,"Cuarta Este Area Fundacional",1822015.857,1,"alto"
382,"Fresno europeo","05/03/2012 11:57","Bajo (2 - 4 mts)",35,"Mediano",-68.81939759,-32.86784551,4,"Cuarta Este Area Fundacional",1822015.857,0,"bajo"
389,"Paraiso","05/03/2012 11:43","Alto (> 8 mts)",145,"Grande",-68.81993201,-32.86782902,4,"Cuarta Este Area Fundacional",1822015.857,0,"alto"
401,"Prunas","05/03/2012 11:15","Medio (4 - 8 mts)",40,"Mediano",-68.81980256,-32.86719632,4,"Cuarta Este Area Fundacional",1822015.857,1,"bajo"
415,"Morera","06/03/2012 12:34","Medio (4 - 8 mts)",70,"Grande",-68.81833602,-32.86731465,4,"Cuarta Este Area Fundacional",1822015.857,0,"bajo"
473,"Morera","07/03/2012 10:55","Alto (> 8 mts)",140,"Grande",-68.82232095,-32.86858172,4,"Cuarta Este Area Fundacional",1822015.857,1,"alto"
474,"Morera","07/03/2012 10:52","Alto (> 8 mts)",160,"Grande",-68.82241492,-32.86857923,4,"Cuarta Este Area Fundacional",1822015.857,1,"alto"
489,"Jacarand","07/03/2012 09:57","Bajo (2 - 4 mts)",25,"Mediano",-68.82257435,-32.86787778,4,"Cuarta Este Area Fundacional",1822015.857,1,"bajo"
490,"Morera","07/03/2012 09:53","Alto (> 8 mts)",180,"Grande",-68.82246894,-32.86788089,4,"Cuarta Este Area Fundacional",1822015.857,0,"muy alto"
501,"Morera","07/03/2012 09:21","Alto (> 8 mts)",120,"Grande",-68.82167006,-32.86790394,4,"Cuarta Este Area Fundacional",1822015.857,1,"medio"
507,"Morera","08/03/2012 19:18","Medio (4 - 8 mts)",130,"Grande",-68.82029226,-32.86821161,4,"Cuarta Este Area Fundacional",1822015.857,0,"alto"
508,"Morera","08/03/2012 19:12","Alto (> 8 mts)",130,"Grande",-68.82029834,-32.86825823,4,"Cuarta Este Area Fundacional",1822015.857,0,"alto"
514,"Morera","08/03/2012 18:41","Alto (> 8 mts)",160,"Grande",-68.82033588,-32.86858777,4,"Cuarta Este Area Fundacional",1822015.857,0,"alto"
515,"Morera","08/03/2012 18:38","Medio (4 - 8 mts)",90,"Grande",-68.82039567,-32.86863774,4,"Cuarta Este Area Fundacional",1822015.857,1,"medio"
525,"Morera","08/03/2012 18:15","Muy bajo (1 - 2 mts)",3,"Chico",-68.82107661,-32.86862059,4,"Cuarta Este Area Fundacional",1822015.857,0,"bajo"
533,"Morera","08/03/2012 17:55","Medio (4 - 8 mts)",120,"Grande",-68.82142653,-32.86835731,4,"Cuarta Este Area Fundacional",1822015.857,0,"medio"
543,"Morera","08/03/2012 17:36","Medio (4 - 8 mts)",84,"Grande",-68.82118412,-32.86792217,4,"Cuarta Este Area Fundacional",1822015.857,0,"medio"
551,"Morera","08/03/2012 16:53","Medio (4 - 8 mts)",150,"Grande",-68.82047212,-32.86794532,4,"Cuarta Este Area Fundacional",1822015.857,1,"alto"
555,"Fresno europeo","09/03/2012 07:54","Alto (> 8 mts)",170,"Grande",-68.81895192,-32.86806803,4,"Cuarta Este Area Fundacional",1822015.857,1,"muy alto"
559,"Morera","09/03/2012 07:46","Medio (4 - 8 mts)",180,"Grande",-68.81898617,-32.86831219,4,"Cuarta Este Area Fundacional",1822015.857,1,"muy alto"
561,"Morera","09/03/2012 07:43","Alto (> 8 mts)",160,"Grande",-68.81900725,-32.86849639,4,"Cuarta Este Area Fundacional",1822015.857,1,"alto"
570,"Morera","08/03/2012 11:13","Alto (> 8 mts)",150,"Grande",-68.81943087,-32.86867347,4,"Cuarta Este Area Fundacional",1822015.857,0,"alto"
581,"Morera","08/03/2012 10:51","Alto (> 8 mts)",120,"Grande",-68.82016695,-32.86860528,4,"Cuarta Este Area Fundacional",1822015.857,1,"medio"
583,"Morera","08/03/2012 09:48","Alto (> 8 mts)",180,"Grande",-68.82015671,-32.86851024,4,"Cuarta Este Area Fundacional",1822015.857,1,"muy alto"
587,"Morera","08/03/2012 09:40","Alto (> 8 mts)",180,"Grande",-68.8201272,-32.86830549,4,"Cuarta Este Area Fundacional",1822015.857,1,"muy alto"
589,"Morera","08/03/2012 09:37","Alto (> 8 mts)",160,"Grande",-68.82011182,-32.86816968,4,"Cuarta Este Area Fundacional",1822015.857,1,"alto"
592,"Morera","08/03/2012 09:33","Alto (> 8 mts)",165,"Grande",-68.82008786,-32.86801471,4,"Cuarta Este Area Fundacional",1822015.857,1,"muy alto"
