"id","circ_tronco_cm","long","lat","inclinacion_peligrosa","peligrosidad_seccion","peligrosidad_especie","peligrosidad_diametro","peligrosidad_altura"
9113,2,-68.8527906415,-32.8660114654,"0",0.0588327580796988,0.0420032310177706,0.0194352768610194,0.0162354134956875
23826,124,-68.8502720519,-32.9013320171,"0",0.149317634466149,0.0859023207481815,0.14110772139389,0.157894736842105
26746,230,-68.8342839366,-32.8950409549,"0",0.147368421052632,0.0903973509933775,0.14110772139389,0.157894736842105
15555,28,-68.8611100482,-32.8719206026,"0",0.0858505564387917,0.0859023207481815,0.0409336941813261,0.0289715113471753
28378,290,-68.848233617,-32.888359367,"0",0.128480891108124,0.185148665048544,0.14110772139389,0.157894736842105
35043,156,-68.8537844211,-32.8807224229,"0",0.0588327580796988,0.185148665048544,0.14110772139389,0.157894736842105
9110,25,-68.852821476,-32.8657796416,"0",0.0588327580796988,0.185148665048544,0.0409336941813261,0.0289715113471753
13707,15,-68.8535133267,-32.8655965519,"0",0.0588327580796988,0,0.0194352768610194,0.0289715113471753
18197,130,-68.8404309898,-32.8692150999,"0",0.123221661312529,0.0859023207481815,0.14110772139389,0.0889907279121816
25205,98,-68.8371556875,-32.8984165089,"0",0.149317634466149,0.185148665048544,0.14110772139389,0.157894736842105
35013,24,-68.8562247987,-32.8798764774,"0",0.0588327580796988,0.103064066852368,0.0409336941813261,0.0889907279121816
13851,90,-68.8760293937,-32.8689558994,"0",0.031569173630455,0.106529209621993,0.14110772139389,0.0289715113471753
13382,230,-68.8452039092,-32.8669423422,"0",0.123221661312529,0.0903973509933775,0.14110772139389,0.157894736842105
30102,210,-68.8417935742,-32.8878808831,"0",0.147368421052632,0.0903973509933775,0.14110772139389,0.157894736842105
35149,103,-68.8537249925,-32.8810142531,"0",0.0588327580796988,0.0420032310177706,0.14110772139389,0.157894736842105
10929,58,-68.8509178897,-32.8793073348,"0",0.0588327580796988,0.185148665048544,0.0409336941813261,0.157894736842105
20569,83,-68.8582622532,-32.8980369954,"0",0.128480891108124,0.0420032310177706,0.14110772139389,0.0889907279121816
44572,170,-68.8343828082,-32.8848271895,"0",0.147368421052632,0.0903973509933775,0.14110772139389,0.157894736842105
30805,134,-68.8562125268,-32.8655235388,"0",0.0588327580796988,0.0420032310177706,0.14110772139389,0.0889907279121816
11274,105,-68.8464664859,-32.9003626308,"0",0.149317634466149,0.185148665048544,0.14110772139389,0.157894736842105
47840,220,-68.8277581583,-32.8736202172,"0",0.133619600909321,0.0903973509933775,0.14110772139389,0.157894736842105
42685,150,-68.8299329116,-32.8777731516,"0",0.133619600909321,0.185148665048544,0.14110772139389,0.0889907279121816
44731,180,-68.8241519787,-32.8682058558,"0",0.133619600909321,0.185148665048544,0.14110772139389,0.157894736842105
16796,58,-68.8380856317,-32.8627651445,"0",0.123221661312529,0,0.0409336941813261,0.0889907279121816
47189,85,-68.8342698498,-32.8751071396,"0",0.133619600909321,0.0420032310177706,0.14110772139389,0.0889907279121816
9675,100,-68.849070044,-32.8630598942,"0",0.0588327580796988,0.185148665048544,0.14110772139389,0.0889907279121816
38982,25,-68.8551312575,-32.8713438235,"0",0.0588327580796988,0.0420032310177706,0.0409336941813261,0.0289715113471753
15707,23,-68.8606100376,-32.8687864781,"0",0.0588327580796988,0.0859023207481815,0.0409336941813261,0.0289715113471753
25791,102,-68.8393730843,-32.9033883194,"0",0.149317634466149,0.0420032310177706,0.14110772139389,0.157894736842105
8652,94,-68.8411082953,-32.9025700585,"0",0.149317634466149,0.0380952380952381,0.14110772139389,0.157894736842105
29083,155,-68.8442680219,-32.8863077484,"0",0.11294498381877,0.0512455516014235,0.14110772139389,0.157894736842105
4274,96,-68.837033204,-32.8711851848,"0",0.123221661312529,0.185148665048544,0.14110772139389,0.0889907279121816
12024,135,-68.8530237572,-32.8666183152,"0",0.0588327580796988,0.185148665048544,0.14110772139389,0.0889907279121816
44175,130,-68.8349022548,-32.8764704346,"0",0.133619600909321,0.185148665048544,0.14110772139389,0.157894736842105
4733,16,-68.834319509,-32.866366516,"0",0.123221661312529,0.185148665048544,0.0194352768610194,0.0289715113471753
1811,40,-68.8706349323,-32.8799095909,"0",0.0858505564387917,0.185148665048544,0.0409336941813261,0.0889907279121816
2179,64,-68.8341331444,-32.887469953,"0",0.147368421052632,0.185148665048544,0.14110772139389,0.0889907279121816
6270,5,-68.8512233854,-32.8828483005,"0",0.11294498381877,0.185148665048544,0.0194352768610194,0.0162354134956875
26707,140,-68.8328806577,-32.8931409382,"0",0.147368421052632,0.185148665048544,0.14110772139389,0.157894736842105
21442,101,-68.8555495418,-32.8932924784,"0",0.128480891108124,0.0420032310177706,0.14110772139389,0.157894736842105
38313,190,-68.8533252985,-32.8702867653,"0",0.0588327580796988,0.0859023207481815,0.14110772139389,0.157894736842105
14366,30,-68.8781189844,-32.8657634626,"0",0.031569173630455,0.185148665048544,0.0409336941813261,0.0289715113471753
10170,90,-68.8531326077,-32.8706031016,"0",0.0588327580796988,0.0420032310177706,0.14110772139389,0.0889907279121816
13176,100,-68.8467409519,-32.8661080243,"0",0.123221661312529,0.0420032310177706,0.14110772139389,0.0289715113471753
32992,186,-68.852272651,-32.887419681,"0",0.128480891108124,0.185148665048544,0.14110772139389,0.157894736842105
28186,118,-68.8489958372,-32.8918144899,"0",0.149317634466149,0.101123595505618,0.14110772139389,0.157894736842105
11894,128,-68.8510274555,-32.8660512881,"0",0.0588327580796988,0.0859023207481815,0.14110772139389,0.157894736842105
45866,130,-68.8193484169,-32.870231511,"0",0.133619600909321,0.0420032310177706,0.14110772139389,0.157894736842105
2604,70,-68.8297115154,-32.8812749485,"0",0.147368421052632,0.0903973509933775,0.14110772139389,0.157894736842105
11515,180,-68.8527748464,-32.8662276399,"0",0.0588327580796988,0.0859023207481815,0.14110772139389,0.157894736842105
1936,60,-68.8607692644,-32.8704857278,"0",0.0858505564387917,0.185148665048544,0.0409336941813261,0.0889907279121816
24905,140,-68.8388888891,-32.8965928311,"0",0.149317634466149,0.0420032310177706,0.14110772139389,0.157894736842105
11052,149,-68.8562819901,-32.8794893813,"0",0.0588327580796988,0.0903973509933775,0.14110772139389,0.157894736842105
1732,48,-68.8729844595,-32.8792796304,"0",0.0858505564387917,0.103064066852368,0.0409336941813261,0.0889907279121816
